loan_id,no_of_dependents,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
46,4, No,8000000,27800000,16,13000000,6300000,21400000,10900000, Rejected
47,3, Yes,4200000,14600000,6,2400000,6900000,8700000,4900000, Approved
48,1, Yes,4900000,19100000,14,5400000,9100000,17700000,6500000, Approved
49,3, No,5500000,20500000,12,800000,8600000,18500000,8200000, Approved
50,1, Yes,9500000,19100000,16,100000,10500000,37700000,11700000, Approved
51,4, No,7300000,25400000,16,500000,1800000,20500000,10500000, Rejected
52,2, No,8700000,24700000,10,6800000,3500000,21800000,11300000, Rejected
53,5, No,3800000,7600000,4,8700000,100000,9300000,3400000, Approved
54,1, Yes,8400000,23000000,12,15400000,14800000,31900000,8200000, Approved
55,2, Yes,5100000,19700000,20,7400000,9300000,19400000,3400000, Approved
56,5, No,6700000,24500000,12,1200000,5600000,16300000,6200000, Approved
57,2, No,4300000,10600000,18,2100000,1500000,9300000,5200000, Rejected
58,5, Yes,9300000,30500000,18,19300000,10300000,34600000,8700000, Approved
59,1, No,7400000,18400000,20,18500000,9100000,17500000,4100000, Rejected
60,4, Yes,5500000,18200000,16,-100000,4900000,18600000,4800000, Approved
61,2, No,8500000,18900000,18,23800000,16300000,25900000,11400000, Rejected
62,3, Yes,9600000,30500000,18,4700000,1900000,26500000,9300000, Approved
63,5, Yes,8800000,28900000,6,24400000,8600000,27400000,4700000, Rejected
64,3, Yes,3300000,7500000,20,1600000,5600000,10500000,2900000, Approved
65,4, Yes,3900000,12300000,18,7600000,6900000,13100000,2800000, Approved
66,1, No,4100000,10300000,12,9500000,6100000,14900000,2800000, Rejected
67,3, No,8300000,29100000,10,6100000,11900000,24100000,11900000, Approved
68,0, Yes,2700000,10100000,20,200000,1700000,5900000,1400000, Rejected
69,4, No,5600000,12400000,4,5500000,3100000,11800000,5500000, Approved
70,0, No,1900000,5000000,12,4000000,2800000,4900000,2400000, Rejected
71,4, Yes,500000,1500000,20,100000,200000,1900000,600000, Rejected
72,5, Yes,5300000,18600000,4,2700000,9700000,11900000,4200000, Approved
73,5, No,7000000,18300000,4,18400000,11700000,21500000,7600000, Rejected
74,3, Yes,5800000,16700000,16,3900000,9400000,12600000,5600000, Approved
75,2, No,2600000,8400000,6,6500000,3800000,5600000,2000000, Rejected
76,2, No,1900000,6500000,18,600000,2500000,4800000,1100000, Approved
77,4, No,5700000,14800000,16,14300000,7800000,12900000,6300000, Approved
78,0, No,9000000,33500000,8,11600000,8900000,35400000,11100000, Approved
79,2, No,8500000,29400000,12,17600000,5600000,25200000,9000000, Approved
80,0, No,700000,1400000,14,1900000,700000,2400000,900000, Approved
81,4, No,3500000,8900000,4,1300000,2200000,12300000,2000000, Rejected
82,0, No,8800000,31200000,4,2900000,500000,33300000,8600000, Approved
83,2, Yes,9900000,21200000,16,25500000,11400000,26600000,6800000, Rejected
84,3, No,3600000,8600000,20,9400000,300000,10300000,3300000, Approved
85,3, Yes,3000000,8200000,16,5300000,5800000,11000000,3400000, Approved
86,2, No,6800000,21200000,16,17100000,4700000,23300000,3600000, Rejected
87,5, Yes,1100000,3800000,18,1300000,1200000,3800000,1600000, Rejected
88,1, Yes,8700000,28300000,8,20400000,13600000,27900000,10200000, Rejected
89,4, Yes,2000000,8000000,6,5100000,2600000,3900000,2900000, Approved
90,2, No,9800000,37600000,10,24100000,0,23400000,7600000, Approved
91,4, No,5700000,21100000,18,500000,4300000,12500000,6000000, Rejected
92,4, No,8800000,20700000,18,19200000,3200000,22400000,12700000, Rejected
93,4, No,3800000,8900000,4,9100000,3500000,13100000,4700000, Approved
94,1, No,1700000,6400000,10,900000,1100000,5600000,2100000, Rejected
95,2, No,1000000,2000000,10,1200000,400000,3200000,1300000, Rejected
96,5, No,300000,1100000,2,100000,500000,700000,400000, Approved
97,2, Yes,6600000,15000000,18,1200000,4800000,18200000,7000000, Rejected
98,2, No,8700000,25000000,20,14700000,8500000,23200000,7300000, Approved
99,4, No,9400000,29400000,12,25900000,15200000,36400000,7100000, Approved
100,0, No,4400000,10800000,14,2400000,4800000,13800000,4700000, Rejected
101,4, No,400000,900000,12,700000,100000,1200000,100000, Rejected
102,2, Yes,300000,1100000,2,300000,200000,500000,200000, Approved
103,2, Yes,4300000,12900000,20,11400000,3600000,11400000,2400000, Approved
104,4, No,1600000,4500000,12,700000,1700000,4100000,1900000, Approved
105,5, Yes,6200000,23600000,10,18500000,10300000,23800000,8700000, Rejected
106,3, Yes,4200000,9700000,16,7800000,300000,16700000,5100000, Approved
107,4, Yes,9000000,18100000,12,600000,16500000,20800000,11600000, Approved
108,0, No,2700000,10600000,6,1300000,2700000,9900000,1800000, Approved
109,1, Yes,9700000,35900000,2,19600000,7600000,20400000,10900000, Approved
110,2, No,3300000,6800000,14,3400000,300000,11700000,3600000, Rejected
111,0, No,300000,1100000,8,800000,200000,900000,100000, Approved
112,3, Yes,7400000,18200000,14,5600000,3100000,17900000,5000000, Rejected
113,5, No,7100000,19700000,8,7300000,5600000,25300000,9800000, Rejected
114,5, Yes,7300000,22100000,18,19500000,10600000,19300000,9800000, Approved
115,1, No,8400000,23400000,14,15400000,5800000,33400000,8100000, Rejected
116,0, Yes,3300000,10800000,12,600000,6000000,7700000,3300000, Approved
117,4, Yes,5800000,23200000,18,16100000,4200000,22600000,7500000, Rejected
118,0, No,600000,1600000,6,1500000,600000,1500000,700000, Approved
119,0, No,7200000,15800000,12,12700000,12200000,21500000,3600000, Rejected
120,1, Yes,9100000,32900000,2,2200000,2000000,23600000,5900000, Approved
121,5, No,900000,2300000,16,100000,200000,2700000,800000, Rejected
122,2, No,800000,3200000,8,300000,1000000,2000000,900000, Rejected
123,1, No,8500000,32900000,10,5100000,6200000,20500000,5500000, Approved
124,0, Yes,9000000,18700000,18,26800000,0,20900000,11300000, Approved
125,3, No,7000000,19500000,14,12200000,10300000,18200000,10200000, Approved
126,3, No,200000,600000,16,400000,100000,500000,100000, Approved
127,4, Yes,400000,800000,10,900000,500000,800000,200000, Approved
128,3, No,5100000,18200000,10,100000,8000000,15500000,6300000, Rejected
129,2, Yes,700000,2600000,12,1600000,1300000,2700000,800000, Rejected
130,3, No,400000,1200000,12,200000,600000,1100000,200000, Approved
131,0, Yes,9500000,20800000,14,15100000,11900000,33900000,13400000, Approved
132,5, No,8800000,22600000,10,7900000,8600000,18200000,4900000, Rejected
133,3, Yes,1800000,3600000,18,600000,500000,5400000,2600000, Rejected
134,4, Yes,6800000,13900000,8,11700000,9100000,25700000,9600000, Rejected
135,3, No,1500000,5500000,16,2100000,800000,4400000,1300000, Approved
136,3, No,1600000,5500000,12,600000,800000,5400000,900000, Rejected
137,2, No,4600000,16700000,2,200000,5900000,13900000,6100000, Approved
138,5, Yes,2200000,6700000,6,4400000,1300000,8600000,1100000, Rejected
139,3, Yes,2900000,8500000,12,1000000,3100000,7500000,1800000, Approved
140,0, No,200000,700000,8,500000,200000,700000,100000, Rejected
141,2, Yes,2500000,9400000,10,6600000,4100000,9500000,3300000, Approved
142,4, No,3600000,7500000,6,1100000,6500000,7400000,2800000, Approved
143,0, Yes,5500000,16700000,18,5500000,1300000,12800000,5900000, Approved
144,4, No,6600000,17400000,20,2600000,10000000,25900000,7200000, Rejected
145,2, Yes,8600000,32100000,6,9400000,16700000,24500000,9800000, Approved
146,5, No,600000,1500000,14,300000,900000,2100000,300000, Rejected
147,3, Yes,1400000,3200000,20,2400000,900000,5100000,1600000, Approved
148,3, No,4000000,11100000,12,9700000,100000,12500000,2400000, Approved
149,0, Yes,4900000,11900000,16,14600000,900000,18500000,3800000, Approved
150,5, No,2000000,6200000,18,4000000,2100000,7200000,1100000, Rejected
151,1, Yes,5200000,19300000,8,14300000,9500000,18800000,4200000, Rejected
152,5, Yes,8900000,28800000,6,13600000,5500000,20400000,8400000, Approved
153,1, Yes,6500000,20600000,2,15900000,1900000,18100000,3200000, Approved
154,2, No,1300000,4500000,6,0,900000,2900000,1200000, Rejected
155,3, No,9400000,35000000,16,18200000,4400000,36100000,4800000, Rejected
156,5, No,5000000,11200000,8,9100000,500000,14000000,4600000, Approved
157,2, No,3000000,7700000,12,4700000,4300000,8400000,2100000, Approved
158,5, Yes,9900000,33300000,6,5300000,18700000,27800000,8300000, Rejected
159,5, Yes,700000,1300000,20,1600000,0,2200000,600000, Approved
160,3, Yes,4000000,10600000,10,1500000,5100000,8000000,4900000, Rejected
161,5, No,3100000,9600000,2,5800000,1800000,10400000,4200000, Approved
162,4, No,4500000,15100000,6,3700000,1500000,17800000,6000000, Approved
163,3, No,9700000,20600000,16,24200000,11100000,27400000,6100000, Rejected
164,2, Yes,2000000,5300000,10,4900000,1400000,4300000,2900000, Approved
165,2, Yes,8100000,22300000,18,22300000,12600000,27000000,7300000, Approved
166,0, No,5700000,15900000,16,100000,9500000,16300000,4500000, Approved
167,4, No,5800000,12800000,2,500000,5000000,16000000,2800000, Approved
168,1, No,1800000,6500000,6,2500000,3200000,5000000,1100000, Rejected
169,4, Yes,9100000,35200000,6,1000000,300000,23100000,8200000, Rejected
170,0, Yes,4800000,17500000,2,11700000,6800000,18700000,3500000, Approved
171,3, Yes,3800000,10500000,12,4000000,500000,14900000,2300000, Approved
172,0, No,1900000,4100000,18,400000,800000,4800000,1200000, Approved
173,3, Yes,3600000,9500000,16,7700000,2400000,9700000,2600000, Approved
174,2, Yes,7400000,28200000,8,21900000,5000000,17400000,5200000, Rejected
175,4, Yes,6600000,14300000,8,10800000,9500000,18500000,7400000, Rejected
176,2, No,1800000,5300000,6,4500000,700000,6500000,1300000, Approved
177,4, No,9200000,27200000,12,4500000,1800000,33800000,11400000, Approved
178,5, Yes,2400000,8600000,8,500000,600000,5700000,2800000, Rejected
179,4, No,5600000,13300000,20,3300000,7500000,20000000,6500000, Approved
180,5, No,3800000,13900000,12,4700000,2900000,8200000,2800000, Rejected
181,3, Yes,4500000,17900000,6,9800000,3600000,14300000,4200000, Approved
182,0, Yes,900000,2200000,16,100000,700000,2000000,600000, Approved
183,0, No,2800000,9900000,8,4900000,1300000,6700000,1700000, Approved
184,2, No,7500000,23100000,4,12100000,10900000,26300000,9500000, Approved
185,4, No,1400000,3100000,14,3000000,2100000,4900000,1400000, Approved
186,2, Yes,3800000,10900000,10,1900000,3900000,8600000,3000000, Approved
187,1, Yes,1700000,5000000,10,2900000,900000,4100000,2200000, Approved
188,3, Yes,9000000,30400000,6,16800000,11000000,26900000,9200000, Approved
189,5, Yes,7300000,23300000,6,7100000,11600000,26400000,10500000, Approved
190,1, No,7400000,19800000,18,12600000,6200000,27700000,4000000, Rejected
191,1, No,9000000,28200000,16,1700000,2300000,24000000,11200000, Rejected
192,0, No,3000000,6500000,2,8800000,3400000,6700000,1700000, Approved
193,1, No,800000,2900000,8,2200000,1100000,2900000,700000, Approved
194,2, No,4800000,13200000,2,13700000,5800000,9500000,5200000, Approved
195,5, No,6400000,18300000,8,10000000,3600000,22500000,3600000, Approved
196,3, No,9200000,27100000,12,5800000,11500000,28000000,9600000, Rejected
197,4, Yes,400000,1500000,2,-100000,600000,900000,500000, Approved
198,2, No,2800000,6000000,18,6300000,4200000,8000000,3400000, Approved
199,4, Yes,8500000,28900000,20,15200000,5800000,22500000,9400000, Rejected
200,3, Yes,4700000,16400000,10,11400000,8100000,16200000,4300000, Rejected
201,4, Yes,9800000,21200000,20,22000000,8900000,31800000,14400000, Rejected
202,2, Yes,3800000,8900000,16,200000,5600000,12200000,2200000, Rejected
203,2, No,500000,1500000,2,1500000,300000,1500000,600000, Approved
204,2, Yes,6900000,15600000,6,13000000,5300000,22600000,10000000, Rejected
205,4, Yes,9600000,30100000,12,300000,6700000,38200000,5600000, Approved
206,3, No,2900000,6500000,18,8300000,600000,10400000,3200000, Approved
207,2, No,9800000,20900000,12,3400000,10200000,38600000,13400000, Approved
208,0, No,7100000,15400000,18,10300000,10800000,19600000,5800000, Approved
209,1, Yes,7700000,19100000,10,11300000,4900000,21900000,6600000, Rejected
210,3, No,1400000,3300000,2,100000,2100000,3500000,1900000, Approved
211,3, No,7800000,15900000,2,14400000,900000,27200000,5400000, Approved
212,5, Yes,1700000,6000000,18,500000,1600000,3700000,2300000, Rejected
213,2, No,8500000,32700000,18,12600000,9400000,33900000,12500000, Rejected
214,5, No,1900000,7500000,20,5100000,2800000,6500000,2800000, Approved
215,2, Yes,6700000,15200000,10,0,8200000,15000000,6800000, Approved
216,3, Yes,6900000,16400000,4,11100000,6100000,26400000,3800000, Approved
217,2, No,2600000,7800000,4,3100000,4300000,5700000,1500000, Approved
218,4, Yes,9600000,21100000,6,16100000,9500000,34700000,8700000, Approved
219,1, Yes,6800000,17000000,2,15500000,3900000,23700000,3500000, Approved
220,0, No,3200000,11300000,6,3500000,5500000,8500000,2100000, Rejected
221,4, No,2900000,10400000,6,5100000,1700000,10600000,1700000, Approved
222,3, Yes,7900000,21200000,18,13800000,10600000,21800000,4900000, Approved
223,4, Yes,3900000,12400000,12,6400000,4700000,13100000,3800000, Rejected
224,4, Yes,4600000,11000000,2,9000000,4000000,16100000,3500000, Rejected
225,3, Yes,700000,1700000,8,1200000,800000,2400000,500000, Approved
226,0, No,5200000,15600000,20,14100000,5800000,18100000,5500000, Rejected
227,3, Yes,5900000,20600000,10,1900000,4600000,21200000,6400000, Approved
228,4, No,7200000,19100000,4,9400000,7000000,17900000,3600000, Approved
229,1, Yes,8700000,27000000,10,25500000,8600000,17500000,9100000, Approved
230,3, Yes,1100000,3500000,12,3000000,400000,2200000,1200000, Rejected
231,1, Yes,4000000,10900000,14,3600000,6600000,13600000,4400000, Approved
232,2, No,9800000,32400000,2,24200000,17500000,25700000,7700000, Approved
233,0, Yes,2700000,6800000,20,700000,4200000,7000000,1900000, Approved
234,3, Yes,8800000,34600000,8,14800000,16500000,18400000,6000000, Rejected
235,5, Yes,3300000,7800000,16,8500000,500000,7100000,4900000, Approved
236,1, Yes,6900000,23400000,4,18700000,1100000,23400000,10200000, Approved
237,3, Yes,900000,3500000,4,700000,0,2000000,600000, Rejected
238,3, Yes,4100000,15500000,6,2800000,1600000,14700000,4000000, Approved
239,3, Yes,4700000,17500000,8,1200000,3100000,9600000,4900000, Approved
240,5, Yes,3400000,11600000,16,9200000,5700000,11200000,2400000, Rejected
241,2, No,9600000,22500000,18,7400000,16200000,24300000,12700000, Approved
242,3, Yes,7000000,16200000,6,20000000,12600000,20300000,5500000, Rejected
243,5, No,5700000,12900000,18,4100000,900000,18600000,5500000, Approved
244,1, Yes,8200000,32400000,18,22800000,12300000,17700000,7800000, Approved
245,2, No,2100000,5100000,12,2200000,3200000,6400000,2400000, Approved
246,1, Yes,8000000,28100000,18,1900000,12800000,23000000,7500000, Approved
247,2, No,8000000,29300000,4,16500000,13200000,29400000,6500000, Approved
248,0, Yes,9400000,27000000,10,4400000,1700000,33800000,4800000, Rejected
249,0, No,8400000,20600000,10,1500000,1500000,25000000,11900000, Rejected
250,1, Yes,1900000,5000000,6,1000000,1900000,6300000,1400000, Approved
251,0, Yes,4200000,16400000,20,9500000,2100000,11400000,3100000, Rejected
252,5, No,2600000,9100000,8,3700000,700000,10300000,3300000, Approved
253,3, No,3700000,8500000,20,8300000,5700000,7500000,4900000, Approved
254,0, No,8800000,30900000,12,1700000,700000,25700000,11400000, Approved
255,2, No,2100000,4700000,2,6000000,3200000,5700000,1500000, Rejected
256,3, Yes,900000,2400000,10,800000,0,2800000,500000, Rejected
257,3, Yes,9800000,35400000,6,14400000,16400000,22800000,10300000, Approved
258,2, No,8000000,20000000,2,4100000,2200000,31600000,9900000, Rejected
259,0, No,9800000,38800000,8,23200000,19000000,29700000,5400000, Approved
260,0, Yes,300000,1100000,8,400000,100000,800000,400000, Approved
261,4, No,2700000,8100000,4,5000000,800000,9900000,3400000, Approved
262,3, Yes,7400000,19600000,2,4100000,8900000,29100000,4200000, Approved
263,3, No,9200000,34300000,18,25600000,4000000,29100000,8800000, Rejected
264,5, No,9500000,22200000,20,24500000,0,30800000,7000000, Rejected
265,5, Yes,3800000,14400000,2,3300000,800000,13000000,4700000, Approved
266,0, No,8300000,19400000,18,2500000,16100000,24300000,11300000, Approved
267,2, Yes,2800000,7400000,18,100000,2300000,6300000,3400000, Approved
268,0, No,8600000,20900000,10,11300000,11900000,26000000,4800000, Approved
269,0, No,5400000,16800000,10,5300000,7400000,14500000,7600000, Approved
270,5, Yes,4200000,9400000,6,4700000,5500000,9900000,5700000, Approved
271,5, No,5200000,12200000,20,13400000,2000000,16800000,5400000, Rejected
272,5, No,9400000,27900000,4,1100000,200000,29500000,10400000, Approved
273,3, No,8800000,20400000,8,3200000,11400000,28200000,11800000, Rejected
274,1, Yes,5900000,16700000,16,5800000,8800000,19100000,5300000, Rejected
275,3, Yes,1700000,4900000,16,4700000,1000000,4300000,1400000, Approved
276,1, No,7000000,23000000,10,14000000,3700000,26700000,3600000, Approved
277,4, No,1700000,4000000,6,0,1600000,5200000,1700000, Approved
278,0, No,1500000,4900000,12,1600000,2800000,4600000,800000, Approved
279,4, No,2000000,4700000,18,3700000,3700000,7000000,2800000, Approved
280,5, Yes,3900000,15500000,12,9500000,5400000,7900000,4600000, Rejected
281,1, Yes,900000,3600000,14,1300000,1000000,1800000,1200000, Approved
282,1, No,6900000,22500000,18,800000,8400000,16900000,6300000, Rejected
283,0, Yes,2800000,7800000,10,7800000,2500000,7100000,3400000, Rejected
284,3, Yes,6800000,19900000,10,16000000,6000000,26000000,8500000, Rejected
285,4, Yes,600000,1800000,8,1700000,700000,1800000,800000, Rejected
286,1, No,4700000,14000000,6,11300000,1800000,10600000,4600000, Rejected
287,5, Yes,3000000,11800000,10,8700000,3600000,9800000,4100000, Approved
288,5, No,4000000,13900000,6,6000000,5600000,12500000,6000000, Rejected
289,1, Yes,3100000,11300000,14,3700000,6000000,11000000,4400000, Approved
290,1, Yes,7700000,25500000,12,18100000,10600000,20500000,7000000, Rejected
291,5, Yes,4300000,9300000,10,2100000,6700000,10000000,4100000, Rejected
292,1, Yes,5800000,19500000,20,13800000,5000000,15600000,3300000, Rejected
293,3, Yes,3600000,10700000,16,2300000,1600000,13100000,5200000, Rejected
294,0, Yes,2900000,7600000,8,8000000,5600000,9600000,3100000, Rejected
295,0, No,8800000,20200000,4,16000000,4200000,30500000,12400000, Rejected
296,1, Yes,300000,1000000,10,400000,500000,900000,100000, Rejected
297,5, Yes,8600000,28900000,8,9900000,1800000,30200000,6800000, Rejected
298,2, Yes,3500000,12000000,14,1100000,6800000,12400000,2900000, Rejected
299,5, No,800000,2600000,6,100000,200000,3000000,1000000, Approved
300,2, No,8000000,27100000,12,14400000,400000,25300000,6400000, Approved
301,0, Yes,9900000,38200000,6,17200000,10000000,20100000,5900000, Approved
302,2, No,3300000,6600000,6,6300000,2000000,8900000,2700000, Rejected
303,4, Yes,2000000,6700000,12,100000,800000,4800000,2000000, Approved
304,3, No,4900000,12900000,18,1800000,7000000,17900000,3300000, Approved
305,5, Yes,9200000,23600000,12,1400000,11200000,36400000,4900000, Approved
306,0, No,7500000,18200000,6,7400000,12000000,19800000,4100000, Approved
307,5, No,9000000,29300000,4,10400000,9500000,35500000,5800000, Approved
308,3, No,1400000,4100000,8,3000000,1400000,2900000,2100000, Rejected
309,3, No,9600000,19900000,14,4200000,16200000,28500000,6600000, Rejected
310,2, No,8400000,33200000,14,19600000,15000000,25400000,11500000, Rejected
311,3, No,6400000,24400000,4,7800000,2400000,19100000,4500000, Approved
312,4, No,5900000,16800000,8,6900000,11400000,19500000,3300000, Rejected
313,2, Yes,2200000,5100000,20,3800000,1200000,6400000,3100000, Approved
314,4, Yes,5600000,14100000,14,9000000,9200000,16500000,6800000, Approved
315,4, No,9800000,28700000,6,16600000,7400000,29700000,11100000, Approved
316,4, No,4400000,14600000,4,1300000,6500000,16100000,5700000, Approved
317,2, Yes,2400000,4900000,4,6400000,4300000,5100000,3400000, Approved
318,1, No,4400000,10800000,12,9600000,2700000,17200000,5300000, Approved
319,4, No,3700000,13200000,4,9800000,2400000,12500000,4300000, Approved
320,4, Yes,2300000,7800000,8,1500000,3400000,4700000,2800000, Rejected
321,4, Yes,5900000,19600000,8,17400000,6800000,20100000,8000000, Approved
322,4, Yes,6400000,23500000,2,7300000,2700000,23600000,3900000, Approved
323,4, Yes,4900000,17100000,6,1300000,7000000,19500000,5000000, Approved
324,3, Yes,9500000,24200000,8,3100000,17200000,26400000,12700000, Approved
325,2, No,5700000,16400000,12,3700000,800000,15000000,4400000, Approved
326,2, Yes,2700000,5700000,8,3500000,5000000,10500000,3900000, Approved
327,2, Yes,3900000,11300000,12,3100000,0,10400000,4600000, Rejected
328,0, No,7800000,28800000,12,4700000,7500000,28800000,7400000, Rejected
329,0, No,1100000,3200000,20,1800000,1400000,3600000,1500000, Approved
330,4, No,200000,600000,10,0,100000,400000,0, Rejected
331,0, Yes,4700000,10600000,20,8400000,4000000,12300000,7000000, Rejected
332,3, Yes,8200000,20600000,10,16100000,11400000,29100000,6100000, Rejected
333,2, Yes,4600000,18400000,2,7700000,2400000,14200000,4200000, Approved
334,5, No,1800000,7000000,18,2600000,2100000,6000000,1900000, Rejected
335,3, Yes,3200000,8600000,2,3900000,1800000,7100000,4700000, Rejected
336,4, Yes,5500000,20000000,14,15100000,2700000,19900000,4900000, Approved
337,3, No,7900000,18300000,10,4200000,3400000,22200000,8400000, Approved
338,1, Yes,4000000,10100000,16,7000000,3900000,14300000,3900000, Rejected
339,3, Yes,6800000,16900000,18,3600000,900000,15600000,4900000, Approved
340,1, No,2700000,9400000,18,5300000,2300000,6400000,2400000, Approved
341,2, No,6800000,23500000,12,19300000,11800000,14300000,8500000, Rejected
342,5, No,8600000,21000000,8,11700000,14900000,19500000,9900000, Rejected
343,4, No,8000000,30100000,4,11900000,13800000,18800000,11500000, Approved
344,1, Yes,3700000,12600000,10,5400000,1100000,14200000,4400000, Rejected
345,0, No,2600000,5100000,14,500000,1200000,6000000,3100000, Approved
346,4, No,4200000,16800000,6,9600000,3800000,14800000,5900000, Rejected
347,5, Yes,8000000,28000000,10,18500000,1500000,17400000,3900000, Rejected
348,1, No,7100000,23500000,12,6400000,12100000,22400000,7300000, Approved
349,0, No,2000000,7000000,6,0,1200000,4300000,1400000, Rejected
350,4, Yes,5800000,13300000,14,16100000,9300000,16300000,7000000, Approved
351,3, Yes,6700000,15800000,4,10500000,7600000,14100000,9100000, Rejected
352,2, No,7300000,28700000,14,5900000,3800000,21200000,10800000, Approved
353,4, No,3300000,9700000,14,2500000,0,10400000,2200000, Approved
354,0, No,3000000,7000000,10,7200000,600000,11700000,2700000, Approved
355,4, No,7900000,17200000,14,14200000,9500000,23200000,9000000, Rejected
356,5, No,7600000,24100000,18,21900000,11500000,22900000,7200000, Approved
357,5, No,3700000,9800000,4,9500000,5100000,11200000,3000000, Approved
358,2, No,8400000,26300000,4,22900000,7900000,29200000,6200000, Approved
359,0, Yes,8200000,20800000,14,3800000,100000,26100000,5200000, Rejected
360,0, No,2900000,9500000,18,4300000,2300000,6500000,3500000, Approved
361,1, Yes,9900000,38400000,12,10000000,9300000,36500000,6800000, Approved
362,0, No,4400000,14100000,2,3300000,1300000,8800000,6200000, Approved
363,1, Yes,9000000,32200000,16,4500000,16400000,28600000,10900000, Rejected
364,3, Yes,6800000,26900000,16,14700000,10400000,26300000,7300000, Approved
365,2, No,8700000,28000000,12,16900000,6000000,22900000,6700000, Rejected
366,3, No,9400000,21900000,16,8100000,5600000,34500000,5000000, Approved
367,3, Yes,6000000,12500000,18,14600000,5000000,16800000,5000000, Approved
368,1, Yes,9400000,29800000,10,24100000,18500000,30900000,11700000, Rejected
369,0, Yes,1000000,4000000,10,2400000,1300000,3700000,1100000, Approved
370,3, Yes,900000,2300000,20,600000,1500000,1900000,500000, Approved
371,4, No,2100000,7700000,4,1200000,1700000,6900000,1300000, Approved
372,5, Yes,1100000,3200000,20,3200000,700000,3500000,500000, Approved
373,0, Yes,600000,2300000,4,1600000,800000,2300000,700000, Approved
374,4, Yes,9200000,25500000,10,9400000,10500000,27400000,12800000, Approved
375,2, Yes,3600000,12800000,18,8600000,4100000,10300000,4100000, Approved
376,5, Yes,1300000,5000000,10,2100000,2200000,4800000,1900000, Approved
