loan_id,no_of_dependents,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
83,2, Yes,99000.0,212000.0,16,255000.0,114000.0,266000.0,68000.0, Rejected
84,3, No,36000.0,86000.0,20,94000.0,3000.0,103000.0,33000.0, Approved
85,3, Yes,30000.0,82000.0,16,53000.0,58000.0,110000.0,34000.0, Approved
86,2, No,68000.0,212000.0,16,171000.0,47000.0,233000.0,36000.0, Rejected
87,5, Yes,11000.0,38000.0,18,13000.0,12000.0,38000.0,16000.0, Rejected
88,1, Yes,87000.0,283000.0,8,204000.0,136000.0,279000.0,102000.0, Rejected
89,4, Yes,20000.0,80000.0,6,51000.0,26000.0,39000.0,29000.0, Approved
90,2, No,98000.0,376000.0,10,241000.0,0.0,234000.0,76000.0, Approved
91,4, No,57000.0,211000.0,18,5000.0,43000.0,125000.0,60000.0, Rejected
92,4, No,88000.0,207000.0,18,192000.0,32000.0,224000.0,127000.0, Rejected
93,4, No,38000.0,89000.0,4,91000.0,35000.0,131000.0,47000.0, Approved
94,1, No,17000.0,64000.0,10,9000.0,11000.0,56000.0,21000.0, Rejected
95,2, No,10000.0,20000.0,10,12000.0,4000.0,32000.0,13000.0, Rejected
96,5, No,3000.0,11000.0,2,1000.0,5000.0,7000.0,4000.0, Approved
97,2, Yes,66000.0,150000.0,18,12000.0,48000.0,182000.0,70000.0, Rejected
98,2, No,87000.0,250000.0,20,147000.0,85000.0,232000.0,73000.0, Approved
99,4, No,94000.0,294000.0,12,259000.0,152000.0,364000.0,71000.0, Approved
100,0, No,44000.0,108000.0,14,24000.0,48000.0,138000.0,47000.0, Rejected
101,4, No,4000.0,9000.0,12,7000.0,1000.0,12000.0,1000.0, Rejected
102,2, Yes,3000.0,11000.0,2,3000.0,2000.0,5000.0,2000.0, Approved
103,2, Yes,43000.0,129000.0,20,114000.0,36000.0,114000.0,24000.0, Approved
104,4, No,16000.0,45000.0,12,7000.0,17000.0,41000.0,19000.0, Approved
105,5, Yes,62000.0,236000.0,10,185000.0,103000.0,238000.0,87000.0, Rejected
106,3, Yes,42000.0,97000.0,16,78000.0,3000.0,167000.0,51000.0, Approved
107,4, Yes,90000.0,181000.0,12,6000.0,165000.0,208000.0,116000.0, Approved
108,0, No,27000.0,106000.0,6,13000.0,27000.0,99000.0,18000.0, Approved
109,1, Yes,97000.0,359000.0,2,196000.0,76000.0,204000.0,109000.0, Approved
110,2, No,33000.0,68000.0,14,34000.0,3000.0,117000.0,36000.0, Rejected
111,0, No,3000.0,11000.0,8,8000.0,2000.0,9000.0,1000.0, Approved
112,3, Yes,74000.0,182000.0,14,56000.0,31000.0,179000.0,50000.0, Rejected
113,5, No,71000.0,197000.0,8,73000.0,56000.0,253000.0,98000.0, Rejected
114,5, Yes,73000.0,221000.0,18,195000.0,106000.0,193000.0,98000.0, Approved
115,1, No,84000.0,234000.0,14,154000.0,58000.0,334000.0,81000.0, Rejected
116,0, Yes,33000.0,108000.0,12,6000.0,60000.0,77000.0,33000.0, Approved
117,4, Yes,58000.0,232000.0,18,161000.0,42000.0,226000.0,75000.0, Rejected
118,0, No,6000.0,16000.0,6,15000.0,6000.0,15000.0,7000.0, Approved
119,0, No,72000.0,158000.0,12,127000.0,122000.0,215000.0,36000.0, Rejected
120,1, Yes,91000.0,329000.0,2,22000.0,20000.0,236000.0,59000.0, Approved
121,5, No,9000.0,23000.0,16,1000.0,2000.0,27000.0,8000.0, Rejected
122,2, No,8000.0,32000.0,8,3000.0,10000.0,20000.0,9000.0, Rejected
123,1, No,85000.0,329000.0,10,51000.0,62000.0,205000.0,55000.0, Approved
124,0, Yes,90000.0,187000.0,18,268000.0,0.0,209000.0,113000.0, Approved
125,3, No,70000.0,195000.0,14,122000.0,103000.0,182000.0,102000.0, Approved
126,3, No,2000.0,6000.0,16,4000.0,1000.0,5000.0,1000.0, Approved
127,4, Yes,4000.0,8000.0,10,9000.0,5000.0,8000.0,2000.0, Approved
128,3, No,51000.0,182000.0,10,1000.0,80000.0,155000.0,63000.0, Rejected
129,2, Yes,7000.0,26000.0,12,16000.0,13000.0,27000.0,8000.0, Rejected
130,3, No,4000.0,12000.0,12,2000.0,6000.0,11000.0,2000.0, Approved
131,0, Yes,95000.0,208000.0,14,151000.0,119000.0,339000.0,134000.0, Approved
132,5, No,88000.0,226000.0,10,79000.0,86000.0,182000.0,49000.0, Rejected
133,3, Yes,18000.0,36000.0,18,6000.0,5000.0,54000.0,26000.0, Rejected
134,4, Yes,68000.0,139000.0,8,117000.0,91000.0,257000.0,96000.0, Rejected
135,3, No,15000.0,55000.0,16,21000.0,8000.0,44000.0,13000.0, Approved
136,3, No,16000.0,55000.0,12,6000.0,8000.0,54000.0,9000.0, Rejected
137,2, No,46000.0,167000.0,2,2000.0,59000.0,139000.0,61000.0, Approved
138,5, Yes,22000.0,67000.0,6,44000.0,13000.0,86000.0,11000.0, Rejected
139,3, Yes,29000.0,85000.0,12,10000.0,31000.0,75000.0,18000.0, Approved
140,0, No,2000.0,7000.0,8,5000.0,2000.0,7000.0,1000.0, Rejected
141,2, Yes,25000.0,94000.0,10,66000.0,41000.0,95000.0,33000.0, Approved
142,4, No,36000.0,75000.0,6,11000.0,65000.0,74000.0,28000.0, Approved
143,0, Yes,55000.0,167000.0,18,55000.0,13000.0,128000.0,59000.0, Approved
144,4, No,66000.0,174000.0,20,26000.0,100000.0,259000.0,72000.0, Rejected
145,2, Yes,86000.0,321000.0,6,94000.0,167000.0,245000.0,98000.0, Approved
146,5, No,6000.0,15000.0,14,3000.0,9000.0,21000.0,3000.0, Rejected
147,3, Yes,14000.0,32000.0,20,24000.0,9000.0,51000.0,16000.0, Approved
148,3, No,40000.0,111000.0,12,97000.0,1000.0,125000.0,24000.0, Approved
149,0, Yes,49000.0,119000.0,16,146000.0,9000.0,185000.0,38000.0, Approved
150,5, No,20000.0,62000.0,18,40000.0,21000.0,72000.0,11000.0, Rejected
151,1, Yes,52000.0,193000.0,8,143000.0,95000.0,188000.0,42000.0, Rejected
152,5, Yes,89000.0,288000.0,6,136000.0,55000.0,204000.0,84000.0, Approved
153,1, Yes,65000.0,206000.0,2,159000.0,19000.0,181000.0,32000.0, Approved
154,2, No,13000.0,45000.0,6,0.0,9000.0,29000.0,12000.0, Rejected
155,3, No,94000.0,350000.0,16,182000.0,44000.0,361000.0,48000.0, Rejected
156,5, No,50000.0,112000.0,8,91000.0,5000.0,140000.0,46000.0, Approved
157,2, No,30000.0,77000.0,12,47000.0,43000.0,84000.0,21000.0, Approved
158,5, Yes,99000.0,333000.0,6,53000.0,187000.0,278000.0,83000.0, Rejected
159,5, Yes,7000.0,13000.0,20,16000.0,0.0,22000.0,6000.0, Approved
160,3, Yes,40000.0,106000.0,10,15000.0,51000.0,80000.0,49000.0, Rejected
161,5, No,31000.0,96000.0,2,58000.0,18000.0,104000.0,42000.0, Approved
162,4, No,45000.0,151000.0,6,37000.0,15000.0,178000.0,60000.0, Approved
163,3, No,97000.0,206000.0,16,242000.0,111000.0,274000.0,61000.0, Rejected
164,2, Yes,20000.0,53000.0,10,49000.0,14000.0,43000.0,29000.0, Approved
165,2, Yes,81000.0,223000.0,18,223000.0,126000.0,270000.0,73000.0, Approved
166,0, No,57000.0,159000.0,16,1000.0,95000.0,163000.0,45000.0, Approved
167,4, No,58000.0,128000.0,2,5000.0,50000.0,160000.0,28000.0, Approved
168,1, No,18000.0,65000.0,6,25000.0,32000.0,50000.0,11000.0, Rejected
169,4, Yes,91000.0,352000.0,6,10000.0,3000.0,231000.0,82000.0, Rejected
170,0, Yes,48000.0,175000.0,2,117000.0,68000.0,187000.0,35000.0, Approved
171,3, Yes,38000.0,105000.0,12,40000.0,5000.0,149000.0,23000.0, Approved
172,0, No,19000.0,41000.0,18,4000.0,8000.0,48000.0,12000.0, Approved
173,3, Yes,36000.0,95000.0,16,77000.0,24000.0,97000.0,26000.0, Approved
174,2, Yes,74000.0,282000.0,8,219000.0,50000.0,174000.0,52000.0, Rejected
175,4, Yes,66000.0,143000.0,8,108000.0,95000.0,185000.0,74000.0, Rejected
176,2, No,18000.0,53000.0,6,45000.0,7000.0,65000.0,13000.0, Approved
177,4, No,92000.0,272000.0,12,45000.0,18000.0,338000.0,114000.0, Approved
178,5, Yes,24000.0,86000.0,8,5000.0,6000.0,57000.0,28000.0, Rejected
179,4, No,56000.0,133000.0,20,33000.0,75000.0,200000.0,65000.0, Approved
180,5, No,38000.0,139000.0,12,47000.0,29000.0,82000.0,28000.0, Rejected
181,3, Yes,45000.0,179000.0,6,98000.0,36000.0,143000.0,42000.0, Approved
182,0, Yes,9000.0,22000.0,16,1000.0,7000.0,20000.0,6000.0, Approved
183,0, No,28000.0,99000.0,8,49000.0,13000.0,67000.0,17000.0, Approved
184,2, No,75000.0,231000.0,4,121000.0,109000.0,263000.0,95000.0, Approved
185,4, No,14000.0,31000.0,14,30000.0,21000.0,49000.0,14000.0, Approved
186,2, Yes,38000.0,109000.0,10,19000.0,39000.0,86000.0,30000.0, Approved
187,1, Yes,17000.0,50000.0,10,29000.0,9000.0,41000.0,22000.0, Approved
188,3, Yes,90000.0,304000.0,6,168000.0,110000.0,269000.0,92000.0, Approved
189,5, Yes,73000.0,233000.0,6,71000.0,116000.0,264000.0,105000.0, Approved
190,1, No,74000.0,198000.0,18,126000.0,62000.0,277000.0,40000.0, Rejected
191,1, No,90000.0,282000.0,16,17000.0,23000.0,240000.0,112000.0, Rejected
192,0, No,30000.0,65000.0,2,88000.0,34000.0,67000.0,17000.0, Approved
193,1, No,8000.0,29000.0,8,22000.0,11000.0,29000.0,7000.0, Approved
194,2, No,48000.0,132000.0,2,137000.0,58000.0,95000.0,52000.0, Approved
195,5, No,64000.0,183000.0,8,100000.0,36000.0,225000.0,36000.0, Approved
196,3, No,92000.0,271000.0,12,58000.0,115000.0,280000.0,96000.0, Rejected
197,4, Yes,4000.0,15000.0,2,-1000.0,6000.0,9000.0,5000.0, Approved
198,2, No,28000.0,60000.0,18,63000.0,42000.0,80000.0,34000.0, Approved
199,4, Yes,85000.0,289000.0,20,152000.0,58000.0,225000.0,94000.0, Rejected
200,3, Yes,47000.0,164000.0,10,114000.0,81000.0,162000.0,43000.0, Rejected
201,4, Yes,98000.0,212000.0,20,220000.0,89000.0,318000.0,144000.0, Rejected
202,2, Yes,38000.0,89000.0,16,2000.0,56000.0,122000.0,22000.0, Rejected
203,2, No,5000.0,15000.0,2,15000.0,3000.0,15000.0,6000.0, Approved
204,2, Yes,69000.0,156000.0,6,130000.0,53000.0,226000.0,100000.0, Rejected
205,4, Yes,96000.0,301000.0,12,3000.0,67000.0,382000.0,56000.0, Approved
206,3, No,29000.0,65000.0,18,83000.0,6000.0,104000.0,32000.0, Approved
207,2, No,98000.0,209000.0,12,34000.0,102000.0,386000.0,134000.0, Approved
208,0, No,71000.0,154000.0,18,103000.0,108000.0,196000.0,58000.0, Approved
209,1, Yes,77000.0,191000.0,10,113000.0,49000.0,219000.0,66000.0, Rejected
210,3, No,14000.0,33000.0,2,1000.0,21000.0,35000.0,19000.0, Approved
211,3, No,78000.0,159000.0,2,144000.0,9000.0,272000.0,54000.0, Approved
212,5, Yes,17000.0,60000.0,18,5000.0,16000.0,37000.0,23000.0, Rejected
213,2, No,85000.0,327000.0,18,126000.0,94000.0,339000.0,125000.0, Rejected
214,5, No,19000.0,75000.0,20,51000.0,28000.0,65000.0,28000.0, Approved
215,2, Yes,67000.0,152000.0,10,0.0,82000.0,150000.0,68000.0, Approved
216,3, Yes,69000.0,164000.0,4,111000.0,61000.0,264000.0,38000.0, Approved
217,2, No,26000.0,78000.0,4,31000.0,43000.0,57000.0,15000.0, Approved
218,4, Yes,96000.0,211000.0,6,161000.0,95000.0,347000.0,87000.0, Approved
219,1, Yes,68000.0,170000.0,2,155000.0,39000.0,237000.0,35000.0, Approved
220,0, No,32000.0,113000.0,6,35000.0,55000.0,85000.0,21000.0, Rejected
221,4, No,29000.0,104000.0,6,51000.0,17000.0,106000.0,17000.0, Approved
222,3, Yes,79000.0,212000.0,18,138000.0,106000.0,218000.0,49000.0, Approved
223,4, Yes,39000.0,124000.0,12,64000.0,47000.0,131000.0,38000.0, Rejected
224,4, Yes,46000.0,110000.0,2,90000.0,40000.0,161000.0,35000.0, Rejected
225,3, Yes,7000.0,17000.0,8,12000.0,8000.0,24000.0,5000.0, Approved
226,0, No,52000.0,156000.0,20,141000.0,58000.0,181000.0,55000.0, Rejected
227,3, Yes,59000.0,206000.0,10,19000.0,46000.0,212000.0,64000.0, Approved
228,4, No,72000.0,191000.0,4,94000.0,70000.0,179000.0,36000.0, Approved
229,1, Yes,87000.0,270000.0,10,255000.0,86000.0,175000.0,91000.0, Approved
230,3, Yes,11000.0,35000.0,12,30000.0,4000.0,22000.0,12000.0, Rejected
231,1, Yes,40000.0,109000.0,14,36000.0,66000.0,136000.0,44000.0, Approved
232,2, No,98000.0,324000.0,2,242000.0,175000.0,257000.0,77000.0, Approved
233,0, Yes,27000.0,68000.0,20,7000.0,42000.0,70000.0,19000.0, Approved
234,3, Yes,88000.0,346000.0,8,148000.0,165000.0,184000.0,60000.0, Rejected
235,5, Yes,33000.0,78000.0,16,85000.0,5000.0,71000.0,49000.0, Approved
236,1, Yes,69000.0,234000.0,4,187000.0,11000.0,234000.0,102000.0, Approved
237,3, Yes,9000.0,35000.0,4,7000.0,0.0,20000.0,6000.0, Rejected
238,3, Yes,41000.0,155000.0,6,28000.0,16000.0,147000.0,40000.0, Approved
239,3, Yes,47000.0,175000.0,8,12000.0,31000.0,96000.0,49000.0, Approved
240,5, Yes,34000.0,116000.0,16,92000.0,57000.0,112000.0,24000.0, Rejected
241,2, No,96000.0,225000.0,18,74000.0,162000.0,243000.0,127000.0, Approved
242,3, Yes,70000.0,162000.0,6,200000.0,126000.0,203000.0,55000.0, Rejected
243,5, No,57000.0,129000.0,18,41000.0,9000.0,186000.0,55000.0, Approved
244,1, Yes,82000.0,324000.0,18,228000.0,123000.0,177000.0,78000.0, Approved
245,2, No,21000.0,51000.0,12,22000.0,32000.0,64000.0,24000.0, Approved
246,1, Yes,80000.0,281000.0,18,19000.0,128000.0,230000.0,75000.0, Approved
247,2, No,80000.0,293000.0,4,165000.0,132000.0,294000.0,65000.0, Approved
248,0, Yes,94000.0,270000.0,10,44000.0,17000.0,338000.0,48000.0, Rejected
249,0, No,84000.0,206000.0,10,15000.0,15000.0,250000.0,119000.0, Rejected
250,1, Yes,19000.0,50000.0,6,10000.0,19000.0,63000.0,14000.0, Approved
251,0, Yes,42000.0,164000.0,20,95000.0,21000.0,114000.0,31000.0, Rejected
252,5, No,26000.0,91000.0,8,37000.0,7000.0,103000.0,33000.0, Approved
253,3, No,37000.0,85000.0,20,83000.0,57000.0,75000.0,49000.0, Approved
254,0, No,88000.0,309000.0,12,17000.0,7000.0,257000.0,114000.0, Approved
255,2, No,21000.0,47000.0,2,60000.0,32000.0,57000.0,15000.0, Rejected
256,3, Yes,9000.0,24000.0,10,8000.0,0.0,28000.0,5000.0, Rejected
257,3, Yes,98000.0,354000.0,6,144000.0,164000.0,228000.0,103000.0, Approved
258,2, No,80000.0,200000.0,2,41000.0,22000.0,316000.0,99000.0, Rejected
259,0, No,98000.0,388000.0,8,232000.0,190000.0,297000.0,54000.0, Approved
260,0, Yes,3000.0,11000.0,8,4000.0,1000.0,8000.0,4000.0, Approved
261,4, No,27000.0,81000.0,4,50000.0,8000.0,99000.0,34000.0, Approved
262,3, Yes,74000.0,196000.0,2,41000.0,89000.0,291000.0,42000.0, Approved
263,3, No,92000.0,343000.0,18,256000.0,40000.0,291000.0,88000.0, Rejected
264,5, No,95000.0,222000.0,20,245000.0,0.0,308000.0,70000.0, Rejected
265,5, Yes,38000.0,144000.0,2,33000.0,8000.0,130000.0,47000.0, Approved
266,0, No,83000.0,194000.0,18,25000.0,161000.0,243000.0,113000.0, Approved
267,2, Yes,28000.0,74000.0,18,1000.0,23000.0,63000.0,34000.0, Approved
268,0, No,86000.0,209000.0,10,113000.0,119000.0,260000.0,48000.0, Approved
269,0, No,54000.0,168000.0,10,53000.0,74000.0,145000.0,76000.0, Approved
270,5, Yes,42000.0,94000.0,6,47000.0,55000.0,99000.0,57000.0, Approved
271,5, No,52000.0,122000.0,20,134000.0,20000.0,168000.0,54000.0, Rejected
272,5, No,94000.0,279000.0,4,11000.0,2000.0,295000.0,104000.0, Approved
273,3, No,88000.0,204000.0,8,32000.0,114000.0,282000.0,118000.0, Rejected
274,1, Yes,59000.0,167000.0,16,58000.0,88000.0,191000.0,53000.0, Rejected
275,3, Yes,17000.0,49000.0,16,47000.0,10000.0,43000.0,14000.0, Approved
276,1, No,70000.0,230000.0,10,140000.0,37000.0,267000.0,36000.0, Approved
277,4, No,17000.0,40000.0,6,0.0,16000.0,52000.0,17000.0, Approved
278,0, No,15000.0,49000.0,12,16000.0,28000.0,46000.0,8000.0, Approved
279,4, No,20000.0,47000.0,18,37000.0,37000.0,70000.0,28000.0, Approved
280,5, Yes,39000.0,155000.0,12,95000.0,54000.0,79000.0,46000.0, Rejected
281,1, Yes,9000.0,36000.0,14,13000.0,10000.0,18000.0,12000.0, Approved
282,1, No,69000.0,225000.0,18,8000.0,84000.0,169000.0,63000.0, Rejected
283,0, Yes,28000.0,78000.0,10,78000.0,25000.0,71000.0,34000.0, Rejected
284,3, Yes,68000.0,199000.0,10,160000.0,60000.0,260000.0,85000.0, Rejected
285,4, Yes,6000.0,18000.0,8,17000.0,7000.0,18000.0,8000.0, Rejected
286,1, No,47000.0,140000.0,6,113000.0,18000.0,106000.0,46000.0, Rejected
287,5, Yes,30000.0,118000.0,10,87000.0,36000.0,98000.0,41000.0, Approved
288,5, No,40000.0,139000.0,6,60000.0,56000.0,125000.0,60000.0, Rejected
289,1, Yes,31000.0,113000.0,14,37000.0,60000.0,110000.0,44000.0, Approved
290,1, Yes,77000.0,255000.0,12,181000.0,106000.0,205000.0,70000.0, Rejected
291,5, Yes,43000.0,93000.0,10,21000.0,67000.0,100000.0,41000.0, Rejected
292,1, Yes,58000.0,195000.0,20,138000.0,50000.0,156000.0,33000.0, Rejected
293,3, Yes,36000.0,107000.0,16,23000.0,16000.0,131000.0,52000.0, Rejected
294,0, Yes,29000.0,76000.0,8,80000.0,56000.0,96000.0,31000.0, Rejected
295,0, No,88000.0,202000.0,4,160000.0,42000.0,305000.0,124000.0, Rejected
296,1, Yes,3000.0,10000.0,10,4000.0,5000.0,9000.0,1000.0, Rejected
297,5, Yes,86000.0,289000.0,8,99000.0,18000.0,302000.0,68000.0, Rejected
298,2, Yes,35000.0,120000.0,14,11000.0,68000.0,124000.0,29000.0, Rejected
299,5, No,8000.0,26000.0,6,1000.0,2000.0,30000.0,10000.0, Approved
300,2, No,80000.0,271000.0,12,144000.0,4000.0,253000.0,64000.0, Approved
301,0, Yes,99000.0,382000.0,6,172000.0,100000.0,201000.0,59000.0, Approved
302,2, No,33000.0,66000.0,6,63000.0,20000.0,89000.0,27000.0, Rejected
303,4, Yes,20000.0,67000.0,12,1000.0,8000.0,48000.0,20000.0, Approved
304,3, No,49000.0,129000.0,18,18000.0,70000.0,179000.0,33000.0, Approved
305,5, Yes,92000.0,236000.0,12,14000.0,112000.0,364000.0,49000.0, Approved
306,0, No,75000.0,182000.0,6,74000.0,120000.0,198000.0,41000.0, Approved
307,5, No,90000.0,293000.0,4,104000.0,95000.0,355000.0,58000.0, Approved
308,3, No,14000.0,41000.0,8,30000.0,14000.0,29000.0,21000.0, Rejected
309,3, No,96000.0,199000.0,14,42000.0,162000.0,285000.0,66000.0, Rejected
310,2, No,84000.0,332000.0,14,196000.0,150000.0,254000.0,115000.0, Rejected
311,3, No,64000.0,244000.0,4,78000.0,24000.0,191000.0,45000.0, Approved
312,4, No,59000.0,168000.0,8,69000.0,114000.0,195000.0,33000.0, Rejected
313,2, Yes,22000.0,51000.0,20,38000.0,12000.0,64000.0,31000.0, Approved
314,4, Yes,56000.0,141000.0,14,90000.0,92000.0,165000.0,68000.0, Approved
315,4, No,98000.0,287000.0,6,166000.0,74000.0,297000.0,111000.0, Approved
316,4, No,44000.0,146000.0,4,13000.0,65000.0,161000.0,57000.0, Approved
317,2, Yes,24000.0,49000.0,4,64000.0,43000.0,51000.0,34000.0, Approved
318,1, No,44000.0,108000.0,12,96000.0,27000.0,172000.0,53000.0, Approved
319,4, No,37000.0,132000.0,4,98000.0,24000.0,125000.0,43000.0, Approved
